chroma_stft,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.3618684,1514.7892702862591,774.8593386386955,2318.5387073863635,0.12294034090909091,-427.8716,92.75911,-69.39344,-26.466284,11.450809,-19.208212,-15.666049,-7.0753694,-14.697503,-10.558497,-13.1393385,-15.691669,-4.374187,0.4367,6.2037644,13.64721,4.8019624,-8.775907,-11.480727,-2.8031027,catHappy
0.3306182,1579.6591921206593,912.547378383141,2345.714801290761,0.1252494480298913,-456.40277,95.23208,-74.057816,-26.609085,13.654671,-18.898006,-15.331652,-6.0215592,-13.977895,-10.569652,-13.54831,-15.683294,-3.9285288,1.2370327,7.7060456,14.562384,4.6725607,-8.85116,-11.392147,-2.5479112,catHappy
0.4395837,2908.3586136339936,1874.257477020667,5081.738059303977,0.22977183948863636,-299.51782,59.746048,-65.76995,25.182383,-28.610676,26.484299,-25.49182,11.192971,-5.561456,-2.9519284,-3.1782973,-13.045688,8.1086235,-5.856851,18.037302,2.537942,9.139299,-9.051471,-8.795155,-0.7168669,catHappy
0.36166707,1551.8384498017083,890.9576093177442,2346.9233842329545,0.12275390625,-427.64578,93.00355,-69.17811,-26.159237,11.759524,-18.960417,-15.428067,-6.8427796,-14.44454,-10.269516,-12.864874,-15.4156685,-4.0756307,0.6836578,6.399757,13.897895,5.1023226,-8.51084,-11.231732,-2.51706,catHappy
0.35207185,1795.1078805525322,988.413334184277,2673.053533380682,0.14671963778409092,-459.52448,84.49117,-86.074165,-13.013479,9.453282,-27.795563,-12.214362,-10.959353,-16.759382,-10.504787,-14.507651,-3.9474854,6.116807,4.9129624,8.572207,-1.6209074,-13.135318,-6.7014914,5.077373,7.996044,catHappy
0.22928149,2598.137241403726,1782.370717628554,4474.050723805147,0.14931832107843138,-237.56973,26.483393,-90.009094,2.8307116,-46.47853,-8.74264,-29.147223,-7.877719,-32.048157,22.40585,-9.32407,42.059742,0.023638342,15.439414,-14.817032,-15.025417,-1.7736067,-12.35643,1.9218062,-8.04434,catHappy
0.23900825,2478.470713300372,1585.1391205724253,4059.521484375,0.1629696800595238,-265.3776,49.494843,-116.58805,21.830814,-60.850906,0.2654317,-29.497026,-11.862927,-22.111362,6.611797,10.596117,21.123226,23.620668,-4.467913,2.5176854,-28.096825,5.052006,-13.813981,2.3020675,-1.4065744,catHappy
0.24399006,2723.3519199814996,1812.0783109754614,4693.393841911765,0.15671913296568626,-196.78508,51.156914,-104.2076,42.88217,-51.97913,17.297428,-30.521126,-0.22028843,-20.705893,7.869685,13.649455,16.011295,27.580095,-8.414127,4.992062,-24.58511,5.340187,-10.664583,1.978582,-2.3738348,catHappy
0.23159619,2405.06881503846,1560.935690464065,3773.3771829044117,0.14040479473039216,-251.91338,50.810757,-107.086945,20.01141,-55.557415,-3.071021,-26.928253,-14.34519,-19.029987,6.630659,10.106211,22.293442,20.186499,-1.9569472,1.0339515,-25.751513,6.2790027,-15.347223,1.6691389,-4.4295177,catHappy
0.22553279,2451.0407449286513,1435.2479704152545,3895.6097771139707,0.16767195159313725,-274.9114,40.33581,-123.319824,25.680952,-69.302666,2.8707929,-31.98286,-15.532104,1.0632892,11.154706,29.201914,10.834473,6.2764664,-20.98308,-13.50197,-10.119389,1.0283513,-4.2794404,1.2158552,1.804946,catHappy
0.26194555,3077.1493399602427,1822.6671013246257,4921.741253396739,0.20308254076086957,-125.69579,21.347116,-115.77114,13.573002,-68.74877,0.70348555,-34.77865,21.874226,-12.617609,40.402092,-1.8170197,24.221226,-23.759398,-2.5663824,-17.89657,-2.8665721,-4.9320803,-5.71385,7.4926524,0.21120682,catHappy
0.27388978,2932.6164952509066,1614.5072600344624,4637.644606370192,0.20838341346153846,-166.07854,41.870228,-143.8062,37.02148,-85.17298,5.625816,-33.715046,14.205246,1.7915478,21.444891,24.107147,0.037481062,4.157573,-24.628864,1.571364,-17.126968,6.2332177,-9.7894125,5.9807816,5.506372,catHappy
